label,row,column
1,31.84705882,139.8941176
2,33.37777778,189.7407407
3,31.08695652,350.3043478
4,31.06315789,401.7052632
5,30.38518519,562.0888889
6,30.69318182,613.6136364
7,29.91588785,773.7102804
8,29.71428571,825.3116883
9,28.6875,985.7875
10,28.29069767,1036.767442
11,80.34615385,137.1538462
12,78.94623656,188.6666667
13,80.35135135,348.3918919
14,80.27906977,399.9651163
15,79.54945055,559.967033
16,79.68493151,611.5068493
17,79.3372093,771.3488372
18,79.125,822.4722222
19,77.3125,982.575
20,76.86585366,1034.768293
21,129.78125,144.28125
22,127.4285714,189.4017857
24,125.5070423,401.5633803
25,126.2826087,562.6195652
26,126.0879121,615.0989011
27,124.3544304,774.1265823
28,125.3243243,824.6891892
29,125.9423077,984.9519231
30,124.472973,1036.283784
